"","site","comid","lon","lat","inletoutlet","tocomid","direction"
"231","MDDNR-RET2.4",4539773,-76.9906,38.3626,"inlet",NA,"dn"
"232","MDDNR-RET2.4",4539773,-76.9906,38.3626,"outlet",NA,"up"
"233","MDDNR-SAV0000",14364972,-79.068064,39.480599,"inlet",14365982,"dn"
"234","MDDNR-SAV0000",14364972,-79.068064,39.480599,"outlet",14364126,"up"
"235","MDDNR-SEN0008",4506614,-77.3396,39.0796,"inlet",NA,"dn"
"236","MDDNR-SEN0008",4506614,-77.3396,39.0796,"outlet",NA,"up"
"237","MDDNR-TF1.0",11907758,-76.6941,38.9556,"inlet",NA,"dn"
"238","MDDNR-TF1.0",11907758,-76.6941,38.9556,"outlet",11906414,"up"
"239","MDDNR-TF1.0P",11907758,-76.69411,38.955573,"inlet",NA,"dn"
"240","MDDNR-TF1.0P",11907758,-76.69411,38.955573,"outlet",11906414,"up"
"241","MDDNR-TF1.2",11908364,-76.7509,38.8143,"inlet",11908590,"dn"
"242","MDDNR-TF1.2",11908364,-76.7509,38.8143,"outlet",NA,"up"
"243","MDDNR-TF1.3",11908582,-76.7123,38.8109,"inlet",NA,"dn"
"244","MDDNR-TF1.3",11908582,-76.7123,38.8109,"outlet",NA,"up"
"245","MDDNR-TF1.4",11908594,-76.7093,38.773,"inlet",NA,"dn"
"246","MDDNR-TF1.4",11908594,-76.7093,38.773,"outlet",NA,"up"
"247","MDDNR-TF1.5",11908668,-76.7015,38.7101,"inlet",NA,"dn"
"248","MDDNR-TF1.5",11908668,-76.7015,38.7101,"outlet",NA,"up"
"249","MDDNR-TF1.6",11908692,-76.6838,38.6585,"inlet",NA,"dn"
"250","MDDNR-TF1.6",11908692,-76.6838,38.6585,"outlet",NA,"up"
"251","MDDNR-TF1.7",11908760,-76.681,38.5821,"inlet",NA,"dn"
"252","MDDNR-TF1.7",11908760,-76.681,38.5821,"outlet",NA,"up"
"253","MDDNR-TF2.1",22340673,-77.0488,38.7066,"inlet",NA,"dn"
"254","MDDNR-TF2.1",22340673,-77.0488,38.7066,"outlet",NA,"up"
"255","MDDNR-TF2.2",22343531,-77.1111,38.6907,"inlet",NA,"dn"
