"","comid","lon","lat","inletoutlet","tocomid","direction"
"282",11908364,-76.7487222,38.8142222,"outlet",NA,"up"
"283",22340529,-77.1169232,38.9295555,"inlet",NA,"dn"
"284",22340529,-77.1169232,38.9295555,"outlet",NA,"up"
"285",22338431,-77.0420556,38.9601667,"inlet",NA,"dn"
"286",22338431,-77.0420556,38.9601667,"outlet",22337529,"up"
"287",4529099,-77.0560278,38.5961389,"inlet",4529759,"dn"
"288",4529099,-77.0560278,38.5961389,"outlet",NA,"up"
"289",4509120,-77.3324293,38.8846952,"inlet",4509304,"dn"
"290",4509120,-77.3324293,38.8846952,"outlet",NA,"up"
"291",4509040,-77.3382627,38.9088892,"inlet",NA,"dn"
"292",4509040,-77.3382627,38.9088892,"outlet",NA,"up"
"293",4508904,-77.1756743,38.9597772,"inlet",NA,"dn"
"294",4508904,-77.1756743,38.9597772,"outlet",NA,"up"
"295",22338645,-77.4319047,38.8823899,"inlet",22340579,"dn"
"296",22338645,-77.4319047,38.8823899,"outlet",22340947,"up"
"297",8476948,-77.5291527,38.3084618,"inlet",NA,"dn"
"298",8476948,-77.5291527,38.3084618,"outlet",NA,"up"
"299",8506380,-77.3322018,37.7676419,"inlet",NA,"dn"
"300",8506380,-77.3322018,37.7676419,"outlet",NA,"up"
"301",8494082,-77.1652778,37.8838889,"inlet",NA,"dn"
"302",8494082,-77.1652778,37.8838889,"outlet",NA,"up"
"303",8575903,-78.0858328,37.6709796,"inlet",NA,"dn"
"304",8575903,-78.0858328,37.6709796,"outlet",NA,"up"
"305",8608039,-77.475263,37.2251505,"inlet",8616513,"dn"
"306",8608039,-77.475263,37.2251505,"outlet",8609035,"up"
"307",8608039,-77.4764,37.2253,"inlet",8616513,"dn"
"308",8608039,-77.4764,37.2253,"outlet",8609035,"up"
"309",8574091,-77.4837,37.5314,"inlet",NA,"dn"
"310",8574091,-77.4837,37.5314,"outlet",NA,"up"
"311",8575903,-78.0858,37.6711,"inlet",NA,"dn"
"312",8575903,-78.0858,37.6711,"outlet",NA,"up"
"313",8477006,-77.3251,38.2447,"inlet",NA,"dn"
"314",8477006,-77.3251,38.2447,"outlet",NA,"up"
"315",8476948,-77.5181,38.3222,"inlet",NA,"dn"
"316",8476948,-77.5181,38.3222,"outlet",NA,"up"
"317",8494082,-77.165,37.8839,"inlet",NA,"dn"
"318",8494082,-77.165,37.8839,"outlet",NA,"up"
"319",8506380,-77.3322,37.7678,"inlet",NA,"dn"
"320",8506380,-77.3322,37.7678,"outlet",NA,"up"
"321",8402051,-75.5713,38.0761,"inlet",NA,"dn"
"322",8402051,-75.5713,38.0761,"outlet",8401953,"up"
"323",27609899,-75.8737,39.467,"inlet",NA,"dn"
"324",27609899,-75.8737,39.467,"outlet",4765444,"up"
"325",4765742,-75.882,39.3642,"inlet",NA,"dn"
"326",4765742,-75.882,39.3642,"outlet",NA,"up"
"327",4765622,-75.9249,39.2437,"inlet",NA,"dn"
"328",4765622,-75.9249,39.2437,"outlet",4765602,"up"
"329",4769502,-76.2151,38.9923,"inlet",NA,"dn"
"330",4769502,-76.2151,38.9923,"outlet",NA,"up"
"331",9408460,-75.9097,38.8065,"inlet",NA,"dn"
"332",9408460,-75.9097,38.8065,"outlet",9406534,"up"
"333",9409840,-76.0587,38.5807,"inlet",NA,"dn"
"334",9409840,-76.0587,38.5807,"outlet",NA,"up"
"335",8392820,-75.7031,38.5483,"inlet",NA,"dn"
"336",8392820,-75.7031,38.5483,"outlet",8392650,"up"
"337",8394144,-75.8883,38.3413,"inlet",NA,"dn"
"338",8394144,-75.8883,38.3413,"outlet",NA,"up"
"339",8384627,-75.7879,38.2678,"inlet",NA,"dn"
"340",8384627,-75.7879,38.2678,"outlet",8384451,"up"
"341",8402241,-75.8141,38.1379,"inlet",NA,"dn"
"342",8402241,-75.8141,38.1379,"outlet",8401991,"up"
"343",8402105,-75.8017,38.055,"inlet",NA,"dn"
"344",8402105,-75.8017,38.055,"outlet",NA,"up"
"345",11909588,-76.6018,38.4253,"inlet",NA,"dn"
"346",11909588,-76.6018,38.4253,"outlet",NA,"up"
"347",11909786,-76.5113,38.3789,"inlet",NA,"dn"
"348",11909786,-76.5113,38.3789,"outlet",NA,"up"
"349",11909668,-76.4849,38.3398,"inlet",NA,"dn"
"350",11909668,-76.4849,38.3398,"outlet",NA,"up"
"351",11909682,-76.4215,38.312,"inlet",NA,"dn"
"352",11909682,-76.4215,38.312,"outlet",NA,"up"
"353",4532367,-76.598,38.1576,"inlet",NA,"dn"
"354",4532367,-76.598,38.1576,"outlet",4532743,"up"
"355",4532641,-76.347702,38.0215,"inlet",NA,"dn"
"356",4532641,-76.347702,38.0215,"outlet",4532491,"up"
"357",4529657,-77.1935,38.5651,"inlet",NA,"dn"
"358",4529657,-77.1935,38.5651,"outlet",4529759,"up"
"359",4529579,-77.1186,38.5885,"inlet",4529759,"dn"
"360",4529579,-77.1186,38.5885,"outlet",NA,"up"
"361",22338029,-76.9867,38.6984,"inlet",NA,"dn"
"362",22338029,-76.9867,38.6984,"outlet",22338119,"up"
